sortOrder,spanish,englishPrimary,englishVariantsJson,pos,frequencyCount
2273,molesto,uncomfortable,"[""annoyed, vexed"", ""annoying, obtrusive"", ""uncomfortable""]",adj,17826
2274,patio,courtyard,"[""yard, patio"", ""courtyard"", ""clipping of \""patio de recreo,patio de juegos""]",n,17816
2275,new,,[],none,17793
2276,investigador,"researcher, investigator","[""researching, investigating"", ""researcher, investigator""]",n,17776
2277,ejercer,to exercise,"[""to exercise""]",v,17729
2278,dedicado,dedicated,"[""dedicated""]",adj,17728
2279,expulsar,"to vote out, eliminate","[""to expel"", ""to vote out, eliminate"", ""to send off, dismiss""]",v,17724
2280,entrenar,to train,"[""to train""]",v,17720
2281,selección,selection,"[""selection"", ""choice"", ""national sports team""]",n,17707
2282,deprisa,"quickly, hurriedly","[""quickly, hurriedly""]",adv,17701
2283,recientemente,recently,"[""recently""]",adv,17678
2284,apestar,to stink,"[""to stink"", ""to nauseate"", ""to cause a plague, disease"", ""to corrupt, spoil"", ""to annoy"", ""to suck, to stink, to blow""]",v,17663
2285,milla,English or American mile,"[""English or American mile"", ""milla, Spanish mile""]",n,17662
2286,nuevamente,newly,"[""newly"", ""again""]",adv,17658
2287,nadar,to swim,"[""to swim"", ""to be swimming in [+en ]""]",v,17629
2288,charla,"talk, chat","[""talk, chat""]",n,17624
2289,cierre,zipper,"[""shutting, closing"", ""shutting device, fastener"", ""shutter, blind"", ""zipper""]",n,17624
2290,concurso,concourse,"[""concourse"", ""competition"", ""game show"", ""bankruptcy"", ""cooperation""]",n,17600
2291,ayuntamiento,sexual intercourse,"[""city council, town council, council"", ""city hall, town hall"", ""sexual intercourse""]",n,17591
2292,entidad,entity,"[""entity""]",n,17579
2293,jerry,,[],none,17576
2294,exponer,to exhibit,"[""to exhibit"", ""to expose""]",v,17566
2295,anteriormente,previously,"[""previously""]",adv,17531
2296,botón,button,"[""button"", ""key"", ""bud"", ""cop""]",n,17511
2297,universitario,university,"[""university"", ""university student""]",adj,17507
2298,recorrer,to tour,"[""to tour"", ""to travel, to go""]",v,17503
2299,colectivo,collective,"[""collective"", ""collective, group, association, union, guild"", ""bus"", ""ellipsis of \""taxi colectivo"", ""colectivo""]",adj,17492
2300,interrogar,to interrogate,"[""to interrogate""]",v,17486
2301,miércoles,Wednesday,"[""Wednesday"", ""shoot!""]",n,17486
2302,biblioteca,library,"[""library"", ""bookcase""]",n,17440
2303,religión,religion,"[""religion""]",n,17439
2304,personalmente,personally,"[""personally""]",adv,17423
2305,contribuir,to contribute,"[""to contribute""]",v,17417
2306,ordenador,computer,"[""computer"", ""one who performs an ordination ceremony""]",n,17416
2307,andy,,[],none,17415
2308,centavo,hundredth,"[""hundredth"", ""cent""]",n,17408
2309,pendiente,hanging,"[""pending, outstanding, unfinished"", ""hanging"", ""attentive, careful"", ""earring"", ""pendant"", ""to-do"", ""slope""]",adj,17407
2310,permanente,permanent,"[""permanent"", ""perm, permanent wave, permanent"", ""permanent marker""]",adj,17403
2311,PSOE,"acronym of ""w:es:Partido Socialista Obrero Español","[""acronym of \""w:es:Partido Socialista Obrero Español""]",prop,17400
2312,lágrima,"tear, teardrop","[""tear, teardrop""]",n,17396
2313,Constitución,Constitución,"[""Constitución""]",prop,17385
2314,evidente,"obvious, evident, apparent, clear","[""obvious, evident, apparent, clear""]",adj,17379
2315,granja,"farm, grange","[""farm, grange""]",n,17371
2316,librar,to issue,"[""to save, to rescue, to deliver, to preserve"", ""to free, to exempt"", ""to place, to put"", ""to issue"", ""to make"", ""to wage, to engage"", ""to give birth"", ""to expel the placenta""]",v,17368
2317,incidente,incident,"[""incident"", ""dispute, quarrel"", ""ancillary proceeding""]",n,17367
2318,jornada,day,"[""day"", ""working day"", ""short hike or journey"", ""day trip"", ""arduous trail"", ""act of a play""]",n,17335
2319,apretar,to squeeze,"[""to squeeze"", ""to tighten, constrict or compress"", ""to press"", ""to pull"", ""to grit , to clench"", ""to push down"", ""to hold back"", ""to hold on to something""]",v,17317
2320,encerrado,"stuck, trapped","[""pent, shut-in, cooped up, locked up, locked down confined, holed up, shut away"", ""stuck, trapped"", ""encased, enclosed, closed in, sealed"", ""no longer available, discontinued""]",adj,17312
2321,bordo,tack,"[""side, board"", ""tack"", ""ridge"", ""dam""]",n,17309
2322,licencia,license,"[""license"", ""permission"", ""leave"", ""licentiate""]",n,17309
2323,quince,fifteen,"[""fifteen""]",num,17309
2324,abrigo,overcoat,"[""overcoat"", ""warm clothes"", ""shelter"", ""blanket, quilt"", ""haven, harbor"", ""aid, protection""]",n,17298
2325,síntoma,symptom,"[""symptom""]",n,17298
2326,desesperado,desperate,"[""desperate"", ""hopeless""]",adj,17292
2327,scott,,[],none,17253
2328,parada,stop,"[""stop"", ""station"", ""stop, catch""]",n,17250
2329,bolso,purse,"[""purse"", ""bag"", ""handbag"", ""pouch"", ""sac, tote""]",n,17239
2330,placa,plate,"[""plate"", ""shield, sign"", ""badge"", ""choppers"", ""tartar"", ""a game played in the Dominican Republic which is similar to cricket"", ""board""]",n,17229
2331,fijo,fixed,"[""fixed"", ""firm"", ""concrete, tangible"", ""certainly, of course, doubtless""]",adj,17222
2332,nacimiento,birth,"[""birth"", ""birth, beginning, start"", ""crib, nativity scene""]",n,17205
2333,salsa,salsa,"[""sauce, gravy"", ""A sauce and/or dip of varying textures with a typical base of tomatoes, onion, and chili peppers"", ""salsa""]",n,17205
2334,cubano,Cuban,"[""Cuban""]",adj,17193
2335,inicial,initial,"[""initial""]",adj,17181
2336,cagar,to shit,"[""to shit"", ""exclamation of rejection used to tell someone off"", ""to bust"", ""to get busted"", ""to ruin something"", ""to fail"", ""to cheat someone"", ""to make a mistake""]",v,17161
2337,herir,"to wound, injure","[""to wound, injure"", ""to hurt, offend, wound""]",v,17158
2338,previo,previous,"[""previous"", ""preliminary""]",adj,17158
2339,evolución,evolution,"[""evolution"", ""development""]",n,17155
2340,ánimo,vigour,"[""soul, spirit, mood"", ""vigour"", ""have courage!, cheer up!, keep your head up!, good luck!, chin up!""]",n,17148
2341,reflejar,to reflect,"[""to reflect""]",v,17134
2342,templo,temple,"[""temple""]",n,17130
2343,propietario,proprietary,"[""proprietary"", ""owning"", ""owner, proprietor"", ""landlord""]",n,17114
2344,acusación,accusation,"[""accusation""]",n,17102
2345,camioneta,pick-up truck,"[""pick-up truck"", ""station wagon""]",n,17098
2346,vela,candle,"[""candle"", ""wakefulness, sleeplessness"", ""vigil, watch"", ""vigil"", ""sail"", ""sailing""]",n,17096
2347,obstante,hindering,"[""hindering"", ""obstructing""]",adj,17093
2348,emperador,emperor,"[""emperor"", ""swordfish""]",n,17079
2349,facilitar,to facilitate,"[""to facilitate"", ""to provide, to send, to deliver""]",v,17076
2350,curiosidad,curiosity,"[""curiosity""]",n,17061
2351,caza,game,"[""hunting, hunt"", ""persecution, hunting"", ""game"", ""prey"", ""hunting ground"", ""hunting party"", ""ellipsis of \""avión de caza\"": fighter, fighter plane""]",n,17056
2352,representación,representation,"[""representation""]",n,17056
2353,complejo,complex,"[""complex, sophisticated, intricate"", ""complex, complicated"", ""complex"", ""complex, compound"", ""resort, complex"", ""hang-up""]",n,17037
2354,intelectual,intellectual,"[""intellectual""]",adj,17032
2355,identificación,identification,"[""identification""]",n,17018
2356,infantil,immature,"[""childish"", ""immature"", ""of, relating, or for children""]",adj,17000
2357,petición,request,"[""request""]",n,16999
2358,juventud,youth,"[""youth"", ""a youth, young person""]",n,16996
2359,coincidencia,coincidence,"[""coincidence"", ""agreement"", ""match""]",n,16993
2360,filme,"film, motion picture","[""film, motion picture""]",n,16981
2361,vigilancia,"vigilance, watchfulness","[""vigilance, watchfulness"", ""surveillance, security""]",n,16973
2362,López,surname,"[""surname"", ""López""]",prop,16943
2363,básicamente,basically,"[""basically""]",adv,16943
2364,romano,Roman,"[""Roman"", ""Roman )"", ""of Rome as the seat of power of the popes, heads of the Roman Catholic Church""]",adj,16938
2365,rachel,,[],none,16936
2366,kim,,[],none,16926
2367,bloquear,to block,"[""to block"", ""to block , to barricade, to obstruct"", ""to jam, to wedge, to fix in place"", ""to freeze"", ""to block, to impede, to hinder, to stymie"", ""to freeze, to lock up"", ""to become jammed""]",v,16917
2368,desierto,desert,"[""desert"", ""empty"", ""uninhabited""]",n,16916
2369,estatal,state,"[""state""]",adj,16902
2370,retroceder,to regress,"[""to back up, to go back, to step back, to move backward, to shrink back"", ""to retreat, to fall back, to recede, to draw back"", ""to regress"", ""to backtrack"", ""to recoil""]",v,16890
2372,torre,tower,"[""tower"", ""rook"", ""skyscraper""]",n,16874
2373,publicidad,advertisement,"[""advertisement"", ""publicity""]",n,16869
2374,admirar,to admire,"[""to admire"", ""to be admirable"", ""to be amazed""]",v,16861
2375,arrepentirse,to regret,"[""to regret"", ""to repent""]",v,16854
2376,cazar,to hunt,"[""to hunt"", ""to catch""]",v,16851
2377,saco,gunny sack,"[""bag, sack"", ""gunny sack"", ""suit jacket"", ""English or American sack"", ""saco, Spanish sack""]",n,16849
2378,gestión,process,"[""process"", ""step"", ""management""]",n,16846
2379,volumen,volume,"[""volume""]",n,16844
2380,mortal,deadly,"[""deadly"", ""mortal""]",adj,16836
2381,bestia,beast,"[""beast"", ""animal"", ""brute"", ""brutal""]",n,16832
2382,guía,guide,"[""guide"", ""guidebook"", ""directory""]",n,16821
2383,inferior,inferior,"[""inferior""]",adj,16821
2384,tabla,slab,"[""board, plank"", ""slab"", ""table"", ""skirt pleat"", ""stage"", ""ability on stage, ability as a public speaker""]",n,16815
2385,humo,smoke,"[""smoke"", ""steam"", ""fume, fumes"", ""conceit""]",n,16796
2386,labor,labor,"[""labor"", ""job, task, chore"", ""work, effort"", ""needlework, embroidery""]",n,16796
2387,efectuar,to carry out,"[""to carry out""]",v,16787
2388,Bravo,surname,"[""surname""]",prop,16785
2389,negativo,negative,"[""negative"", ""minus sign""]",adj,16763
2390,suicidar,to commit suicide,"[""to commit suicide"", ""to kill someone""]",v,16763
2391,obedecer,to obey,"[""to obey"", ""to be caused by, to be due to, to be attributable to""]",v,16752
2392,celda,prison cell,"[""prison cell"", ""cell""]",n,16729
2393,derrotar,to defeat,"[""to defeat""]",v,16692
2394,fácilmente,easily,"[""easily""]",adv,16690
2395,alarma,alarm,"[""alarm""]",n,16688
2396,espacial,spatial,"[""spatial""]",adj,16674
2397,agradar,"to please, to agree with","[""to please, to agree with""]",v,16663
2398,rico,rich,"[""rich"", ""luxurious"", ""tasty, yummy""]",adj,16658
2399,continuación,continuation,"[""continuation""]",n,16645
2400,lamentar,to mourn,"[""to lament, to regret"", ""to mourn""]",v,16645
2401,aviso,warning,"[""warning"", ""announcement""]",n,16643
2402,policial,police procedural,"[""Related to the police, police force"", ""police procedural"", ""whodunit, whodunnit""]",adj,16643
2403,Larry,given name,"[""given name""]",prop,16637
2404,ceremonia,ceremony,"[""ceremony""]",n,16635
2405,significado,significant,"[""significant"", ""important"", ""well-known"", ""significance"", ""meaning""]",n,16633
2406,basar,to base on,"[""to base on""]",v,16631
2407,ausencia,absence,"[""absence"", ""absence seizure""]",n,16628
2408,chaqueta,an act of masturbation,"[""jacket, piece of clothing worn on the upper body outside a shirt or blouse, often waist length to thigh length"", ""an act of masturbation""]",n,16627
2409,noble,noble,"[""noble""]",adj,16620
2410,pagado,paid,"[""paid""]",adj,16606
2411,Franco,given name,"[""given name"", ""surname""]",prop,16596
2412,iniciativa,initiative,"[""initiative""]",n,16592
2413,ave,bird,"[""bird"", ""fowl, poultry"", ""hello, hail"", ""high-speed train""]",n,16591
2414,consumir,to consume,"[""to consume""]",v,16587
2415,reclamar,to lure,"[""to reclaim, to recover possession of"", ""to claim, to ask for, to demand"", ""to lure"", ""to look for , to summon"", ""to protest, to complain, to object, to clamor, to reclaim"", ""to resound"", ""to hoist taut""]",v,16573
2416,traducción,translation,"[""translation""]",n,16557
2417,bendecir,to bless,"[""to bless""]",v,16548
2418,torno,lathe,"[""lathe"", ""winch""]",n,16546
2419,obligación,obligation,"[""obligation"", ""bond""]",n,16538
2420,temor,awe,"[""fear"", ""awe"", ""apprehension"", ""trepidation""]",n,16530
2421,desgraciado,unfortunate,"[""unfortunate"", ""wretch"", ""creep, unfortunate person"", ""jerk, idiot, moron""]",adj,16527
2422,llover,to rain,"[""to rain""]",v,16522
2423,pete,blowjob,"[""blowjob"", ""binky, pacifier"", ""noob, unskilled player""]",n,16520
2425,Cristo,Christ,"[""Christ""]",prop,16492
2426,progreso,"progress, headway, advancement","[""progress, headway, advancement""]",n,16470
2427,castigo,punishment,"[""punishment""]",n,16465
2428,Rodríguez,surname,"[""surname""]",prop,16463
2429,continuo,unity,"[""continual, constant"", ""continuous, adjacent"", ""steady, persevering"", ""continual, nondiscrete"", ""unity"", ""vassal man-at-arms or bodyguard"", ""continuo""]",adj,16451
2430,contentar,to please,"[""to please"", ""to make do, settle""]",v,16449
2431,ligero,"light, not heavy","[""light, not heavy""]",adj,16440
2432,Chicago,Chicago,"[""Chicago""]",prop,16439
2433,clima,"climate, weather","[""climate, weather""]",n,16423
2434,wow,wow,"[""wow""]",interj,16416
2435,triunfo,triumph,"[""triumph""]",n,16410
2436,maravilla,marigold,"[""wonder, marvel"", ""marigold"", ""four o'clock flower""]",n,16407
2437,caro,dear,"[""dear"", ""expensive"", ""costly""]",adj,16397
2438,borde,side,"[""edge, border, brink, verge, rim, margin"", ""brim, rim, lip"", ""side"", ""ledge"", ""edging, fringe"", ""bastard"", ""rude, impertinent""]",n,16385
2439,febrero,February,"[""February""]",n,16385
2440,suicidio,suicide,"[""suicide""]",n,16379
2441,tragar,to swallow,"[""to swallow"", ""to swallow, consume, absorb in so that it disappears)"", ""to gulp, swallow, devour"", ""to buy into, fall for"", ""to stand, tolerate"", ""to eat""]",v,16371
2442,juntar,to close partway,"[""to combine, unite"", ""to gather"", ""to close partway"", ""to join together"", ""to gather together, socialize, get together, come together, consort"", ""to pick up""]",v,16362
2443,ciertamente,certainly,"[""certainly""]",adv,16356
2444,elegante,"elegant, graceful","[""elegant, graceful"", ""stylish, fancy, chic, smart, classy, high-toned, sleek, posh, fine, fashionable, dashing, snazzy, dressy, nifty, swank, swanky, ritzy""]",adj,16355
2445,establecido,established,"[""established""]",adj,16348
2446,escala,ladder,"[""ladder"", ""scale"", ""ladder, hierarchy"", ""stopover, layover""]",n,16334
2447,ingresar,to join,"[""to join"", ""to enter"", ""to put"", ""to commit someone to a medical institution""]",v,16329
2448,cruel,cruel,"[""cruel"", ""mean""]",adj,16306
2449,cincuenta,fifty,"[""fifty""]",num,16300
2450,símbolo,symbol,"[""symbol"", ""creed""]",n,16300
2452,brindar,to yield,"[""to toast, drink to"", ""to offer, provide, bring"", ""to yield"", ""to dedicate as being for another person as a mark of respect or affection)"", ""to offer )""]",v,16284
2453,rescatar,to rescue,"[""to rescue""]",v,16280
2454,semejante,similar,"[""similar"", ""such"", ""what a""]",adj,16277
2455,primavera,spring,"[""spring"", ""year of age"", ""primrose"", ""simple soul"", ""American robin, Turdus migratorius""]",n,16274
2456,palo,suit,"[""stake, stick, wood"", ""suit"", ""hit, blow, strike"", ""blow"", ""mast"", ""post"", ""execution by hanging or beheading"", ""style""]",n,16272
2457,fruta,fruit,"[""fruit""]",n,16236
2458,poquito,"diminutive of ""poco","[""diminutive of \""poco\"", tiny, very small"", ""diminutive of \""poco""]",adj,16236
2459,mecanismo,mechanism,"[""mechanism""]",n,16224
2460,tranquilizar,to sedate,"[""to calm, calm down"", ""to sedate""]",v,16223
2461,alerta,alertly,"[""alert, vigilant"", ""alertly"", ""alarm""]",n,16201
2462,suma,sum,"[""sum"", ""addition""]",n,16201
2463,impacto,hit,"[""impact, brunt"", ""hit""]",n,16200
2464,ronda,"round, iteration","[""round, iteration"", ""group of musicians, especially serenaders"", ""ellipsis of \""ronda de circunvalación\"""", ""beat, patrol""]",n,16198
2465,filmar,to film,"[""to film""]",v,16195
2466,organizado,organized,"[""organized""]",adj,16182
2467,asombroso,uncanny,"[""amazing, wondrous, breathtaking, awesome"", ""amazing, astonishing, staggering, astounding, stunning, surprising, startling, stupefying"", ""uncanny""]",adj,16179
2468,prohibido,forbidden,"[""forbidden""]",adj,16178
2469,Alberto,given name,"[""given name""]",prop,16171
2470,vivienda,"housing, dwelling","[""housing, dwelling""]",n,16161
2471,kelly,,[],none,16160
2472,ceder,"to transfer, to yield","[""to cede, to hand over, to convey"", ""to transfer, to yield"", ""to relinquish, to abandon, to leave, to give in"", ""to decrease, to lessen, to diminish""]",v,16158
2473,felicitación,congratulation,"[""congratulation""]",n,16155
2474,mate,matte,"[""matte"", ""mate, checkmate"", ""a hand gesture"", ""a feint"", ""a gesture that hints something"", ""maté )"", ""a hollow gourd or cup in which maté is traditionally served"", ""Ilex paraguariensis, a plant used to make maté""]",n,16149
2475,sabor,seasoning,"[""flavor"", ""seasoning""]",n,16137
2476,Reyes,surname,"[""surname"", ""Kings""]",prop,16135
2477,argumento,argument,"[""argument"", ""plot, story line""]",n,16135
2478,Rafael,Raphael,"[""Raphael"", ""given name"", ""surname""]",prop,16125
2479,tribu,tribe,"[""tribe""]",n,16122
2480,muchísimo,"superlative of ""mucho"": much, a great deal, a lot","[""superlative of \""mucho\"": much, a great deal, a lot"", ""superlative of \""mucho\"": a lot, very much""]",adv,16120
2481,jeff,,[],none,16104
2482,barra,bar,"[""bar, rod"", ""bar"", ""bar )"", ""slash"", ""backslash"", ""bend sinister"", ""barbell"", ""fan, crowd, supporter, especially political""]",n,16083
2483,emily,,[],none,16078
2484,jason,,[],none,16048
2485,retener,to hold back,"[""to retain, to remember"", ""to withhold, hold, to keep"", ""to hold back"", ""to catch, to detain"", ""to sequester""]",v,16046
2486,escaso,"sparse, scanty, thin","[""scarce, limited, scant, meager, meagre, skimpy, rare, insufficient, slight, slim"", ""low, little, small, poor, weak"", ""sparse, scanty, thin""]",adj,16032
2487,categoría,category,"[""category"", ""standing, regard""]",n,16028
2488,mancha,blemish,"[""spot"", ""blemish""]",n,16025
2489,v,letter,"[""letter""]",letter,16017
2490,camarero,waiter,"[""waiter""]",n,16016
2491,dimensión,dimension,"[""dimension"", ""scale, scope, extent""]",n,16016
2492,saludo,salutation,"[""greeting, greetings"", ""salutation""]",n,16012
2493,percibir,to perceive,"[""to perceive""]",v,16002
2494,capa,layer,"[""cloak, cape"", ""coat, sheet"", ""layer"", ""guise""]",n,15998
2495,avance,advance,"[""advance"", ""progress"", ""advance payment"", ""preview, trailer""]",n,15988
2496,digno,worthy,"[""worthy"", ""honorable"", ""dignified, respectful""]",adj,15976
2497,orgullo,pride,"[""pride"", ""alternative case form of \""Orgullo\""""]",n,15976
2498,coma,comma,"[""comma"", ""misericord"", ""section"", ""coma"", ""mane""]",n,15971
2499,excepción,exception,"[""exception""]",n,15944
2500,margen,leeway,"[""margin, edge"", ""leeway"", ""river bank""]",n,15938
2501,encargo,order,"[""order"", ""errand, task"", ""commission, assignment, job""]",n,15914
2502,salto,skip,"[""jump, leap, jumping"", ""skip"", ""gap"", ""dive"", ""jump, vault"", ""waterfall""]",n,15911
2503,típico,typical,"[""typical"", ""traditional"", ""a dance and music style from Panama""]",adj,15905
2504,urbano,urban,"[""urban"", ""urbane""]",adj,15900
2505,cartel,cartel,"[""poster, placard, bill, banner"", ""lineup, billing"", ""the \""now-showing\"" board in a cinema or playhouse"", ""cartel"", ""criminal organization, mafia, mob""]",n,15896
2506,metal,metal,"[""metal""]",n,15893
2507,absurdo,something that is absurd or ridiculous,"[""absurd, preposterous, ludicrous, ridiculous"", ""something that is absurd or ridiculous""]",adj,15887
2508,urgente,urgent,"[""urgent""]",adj,15887
2509,electrónico,electronic,"[""electronic""]",adj,15865
2510,huelga,"strike, protest","[""strike, protest""]",n,15862
2511,ofender,to offend,"[""to offend"", ""to take umbrage, take offense""]",v,15851
2512,sir,,[],none,15847
2513,temporal,temporal,"[""temporal"", ""temporary"", ""storm""]",adj,15835
2514,sentencia,sentence,"[""sentence""]",n,15834
2515,rastrear,to trawl,"[""to track, pursue"", ""to trace, to retrace, to trail, to backtrack, to scour"", ""to trawl""]",v,15825
2516,hierro,iron,"[""iron"", ""branding iron"", ""brand"", ""iron or steel weapon"", ""any of various objects made of iron"", ""importance""]",n,15809
2517,carter,,[],none,15806
2518,inclinar,to tilt,"[""to tilt"", ""to bow, to lean"", ""to be inclined""]",v,15790
2519,brillar,to shine,"[""to shine"", ""to glow"", ""to sparkle, glisten, glitter, twinkle""]",v,15784
2520,acostumbrado,customary,"[""customary"", ""accustomed to, used to""]",adj,15780
2521,solar,tenement house,"[""ground, land"", ""house , noble lineage"", ""tenement house"", ""to pave"", ""to sole a shoe"", ""solar""]",adj,15767
2522,tasa,rate,"[""rate"", ""tax""]",n,15767
2523,atar,"to tie, tie up, tie down, to tether by rope or the like)","[""to tie, tie up, tie down, to tether by rope or the like)"", ""to constrain, limit without freedom of movement or ability to act)""]",v,15766
2524,completar,to complete,"[""to complete""]",v,15740
2525,convocar,"to call up, enlist","[""to call, convene, convoke"", ""to call up, enlist""]",v,15732
2526,desafío,challenge,"[""challenge"", ""defiance, provocation""]",n,15732
2527,armario,locker,"[""cupboard, storage cabinet, wardrobe"", ""wardrobe, closet"", ""locker""]",n,15726
2528,matt,,[],none,15709
2529,trozo,piece,"[""piece""]",n,15706
2530,experimento,experiment,"[""experiment""]",n,15664
2531,serpiente,snake,"[""snake, serpent"", ""a large or medium-sized snake"", ""snake""]",n,15659
2532,Javier,given name,"[""given name""]",prop,15657
2533,disminuir,to decrease,"[""to decrease""]",v,15656
2534,arder,to rot,"[""to burn, blaze"", ""to burn, to sting, to smart"", ""to burn, seethe"", ""to rot"", ""to cause someone resentment or irritation [+dative]"", ""to get resentful, offended""]",v,15655
2535,festival,festival,"[""festival""]",n,15653
2536,miel,honey,"[""honey""]",n,15653
2537,sustituir,"to replace, to take the place of","[""to replace, to take the place of""]",v,15652
2538,Valle,surname,"[""surname"", ""A department of Honduras""]",prop,15648
2539,imaginación,imagination,"[""imagination""]",n,15640
2540,paciencia,"patience, forbearance","[""patience, forbearance""]",n,15636
2541,raza,crack,"[""race, ethnicity"", ""breed, strain, lineage"", ""cleft, fissure"", ""beam of light, ray of light"", ""crack"", ""stripe""]",n,15636
2542,consultar,to consult,"[""to consult""]",v,15629
2543,regional,regional,"[""regional""]",adj,15625
2544,calcular,to calculate,"[""to calculate""]",v,15614
2545,limitar,to limit,"[""to limit"", ""to abut, to border""]",v,15611
2546,it,,[],none,15610
2547,poema,poem,"[""poem""]",n,15604
2548,piscina,swimming pool,"[""swimming pool"", ""fishpond"", ""piscina""]",n,15584
2549,artístico,artistic,"[""artistic""]",adj,15576
2550,manifestación,manifestation,"[""demonstration, protest"", ""manifestation""]",n,15571
2551,elevado,"high, elevated","[""high, elevated""]",adj,15569
2552,chiste,joke,"[""joke"", ""essence, importance, matter or purpose of something""]",n,15565
2553,depósito,deposit,"[""deposit"", ""store, stock, depot, warehouse, repository"", ""tank, reservoir"", ""pound, car pound"", ""sediment, dregs""]",n,15562
2554,patear,to kick,"[""to kick"", ""to hit"", ""to stamp, stomp"", ""to ditch""]",v,15550
2555,modificar,to modify,"[""to modify""]",v,15542
2556,ilusión,illusion,"[""illusion"", ""hope, expectation"", ""enthusiasm"", ""wishful thinking""]",n,15517
2557,nocturno,night,"[""night"", ""nocturnal"", ""nocturne""]",adj,15500
2558,elevar,to elevate,"[""to elevate"", ""to raise""]",v,15485
2559,literatura,literature,"[""literature""]",n,15472
2560,cubierto,covered,"[""covered"", ""hedged"", ""cutlery, silverware, flatware"", ""place setting""]",adj,15469
2561,PP,"initialism of ""Partido Popular","[""initialism of \""Partido Popular""]",prop,15466
2562,eterno,eternal,"[""eternal""]",adj,15465
2563,diálogo,dialogue,"[""dialogue""]",n,15459
2564,agradecido,"grateful, thankful, appreciative, obliged, indebted","[""grateful, thankful, appreciative, obliged, indebted""]",adj,15455
2565,mezcla,mixed bag,"[""mixture, mix, mixing, combination, admixture, medley"", ""blend, blending"", ""mixed bag""]",n,15452
2566,comparar,to compare,"[""to compare""]",v,15442
2567,externo,external,"[""external""]",adj,15438
2569,embajador,ambassador,"[""ambassador""]",n,15424
2570,apropiado,"appropriate, suitable","[""appropriate, suitable""]",adj,15417
2571,enojar,to anger,"[""to anger"", ""to become angry""]",v,15417
2572,fracaso,"failure, flop","[""downfall, ruin, calamity, disaster"", ""failure, flop""]",n,15407
2573,Japón,Japan,"[""Japan"", ""surname""]",prop,15398
2574,herramienta,"a tool, an implement","[""a tool, an implement""]",n,15394
2575,espía,spy,"[""spy""]",n,15368
2576,expediente,dossier,"[""case, file"", ""dossier""]",n,15362
2577,reaccionar,to react,"[""to react""]",v,15356
2578,reconocimiento,recognition,"[""recognition"", ""reconnaissance""]",n,15350
2579,rodar,to film,"[""to roll, rotate"", ""to film""]",v,15344
2580,alan,,[],none,15339
2581,asimismo,likewise,"[""likewise""]",adv,15337
2582,fundar,to found,"[""to found""]",v,15336
2583,soviético,soviet,"[""soviet""]",adj,15330
2584,sensible,sensitive,"[""sensitive"", ""sentient"", ""responsive""]",adj,15329
2585,aportar,to contribute,"[""to contribute"", ""to provide"", ""to bring"", ""to dock, to enter into a port""]",v,15296
2586,fino,fine,"[""fine""]",adj,15286
2587,imperio,empire,"[""empire"", ""imperium"", ""rule"", ""arrogance""]",n,15281
2588,laboral,labor,"[""labor""]",adj,15278
2589,denuncia,"report, complaint","[""report, complaint""]",n,15276
2590,gol,goal,"[""goal"", ""goal!""]",n,15269
2591,smith,,[],none,15263
2592,Corona,surname,"[""surname""]",prop,15256
2593,voluntario,voluntary,"[""voluntary"", ""volunteer""]",adj,15253
2594,colección,collection,"[""collection""]",n,15244
2595,crítico,critical,"[""critical , judgmental"", ""critical"", ""critic""]",adj,15243
2596,x,letter,"[""letter"", ""forms gender-neutral versions of words by replacing both the masculine o and feminine a""]",letter,15235
2597,divorcio,divorce,"[""divorce""]",n,15230
2598,sopa,soup,"[""soup"", ""noodles"", ""sopped bread""]",n,15227
2599,violación,violation,"[""violation"", ""rape""]",n,15221
2600,encajar,to push in,"[""to insert, put into"", ""to fit, to dovetail"", ""to push in"", ""to make sense, add up, be reasonable"", ""to give"", ""to fit in"", ""to fit"", ""to pull on""]",v,15219
2601,costo,cost,"[""cost"", ""hashish""]",n,15216
2602,Mario,given name,"[""given name""]",prop,15206
2603,dave,,[],none,15205
2604,localizar,to find,"[""to find"", ""to localize, locate"", ""to be located, localized""]",v,15201
2605,juguete,toy,"[""toy""]",n,15197
2606,parlamento,parliament,"[""parliament"", ""reasoning, wording"", ""a speaking role, as opposed to acotación""]",n,15192
2607,fantasía,fantasy,"[""fantasy"", ""costume jewellery"", ""make-believe"", ""fantasia""]",n,15188
2608,misterioso,mysterious,"[""mysterious"", ""mystery"", ""eerie"", ""uncanny""]",adj,15179
2609,enfadar,to annoy,"[""to anger, to make angry"", ""to annoy"", ""to upset"", ""to get angry, to get upset, to be mad, to be angry""]",v,15173
2610,fiel,loyal,"[""faithful, true"", ""loyal""]",adj,15170
2611,anotar,to annotate,"[""to annotate"", ""to score"", ""to note""]",v,15157
2612,sustancia,substance,"[""substance""]",n,15139
2613,castigar,"to punish, to castigate","[""to punish, to castigate"", ""to ground, gate""]",v,15137
2614,h,letter,"[""letter""]",letter,15134
2615,facultad,strength,"[""school, college, department"", ""power, authority, right"", ""ability, gift"", ""strength""]",n,15127
2616,potencial,potential,"[""potential"", ""conditional tense""]",n,15124
2617,burlar,to deceive oneself,"[""to outwit, to outsmart, to circumvent, to trick, to deceive"", ""to circumvent, to evade, to cheat"", ""to make fun of, to poke fun at, to mock, to ridicule, to jeer"", ""to taunt, to tease"", ""to scoff, to scoff at"", ""to deceive oneself""]",v,15102
